"범죄별(1)",범죄별(2),범죄별(3),나이
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21세,22세,23세,24세,25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~70세,71세이상,소계
"합계",소계,소계,1638387,64480,9124,11956,13578,13725,16097,1532005,19858,19460,19532,21748,23647,24988,25621,129654,116195,151650,151885,190437,195650,185680,192688,63312,41902
"형법범",소계,소계,943415,50969,8102,10149,10576,10127,12015,863260,14533,14151,13581,14546,14931,15330,15357,71191,61828,83396,83737,105999,109020,103033,105772,36855,29186
"형법범",재산범죄,소계,445966,28855,5436,6326,6265,5439,5389,405638,7212,7611,6769,7227,7294,7433,7396,33635,27866,37227,38065,49103,50768,48228,50382,19422,11473
"형법범",재산범죄,절도,99432,17066,4372,4552,3953,2459,1730,81687,1414,1275,1214,1187,1359,1409,1459,6419,5230,6350,6024,7486,8382,9361,13530,9588,679
"형법범",재산범죄,장물,1108,188,26,36,44,49,33,889,32,18,20,20,14,18,15,64,69,73,64,99,117,114,124,28,31
"형법범",재산범죄,사기,258094,9212,708,1329,1800,2359,3016,240722,5048,5650,4830,5145,5029,5005,4911,21988,17417,23029,23590,30615,31013,28172,24543,4737,8160
"형법범",재산범죄,횡령,38151,1309,155,212,276,364,302,35603,271,238,265,321,342,378,351,2021,2087,3268,3630,4617,4835,4626,5825,2528,1239
"형법범",재산범죄,배임,9887,3,-,-,1,2,-,8917,4,1,5,13,15,23,29,187,329,707,913,1427,1519,1493,1670,582,967
"형법범",재산범죄,손괴,39294,1077,175,197,191,206,308,37820,443,429,435,541,535,600,631,2956,2734,3800,3844,4859,4902,4462,4690,1959,397
"형법범",강력범죄(흉악),소계,35461,3134,411,602,647,669,805,31733,748,669,686,788,828,1028,1049,4387,3187,3373,2816,3020,2934,2497,2702,1021,594
"형법범",강력범죄(흉악),살인,1034,9,2,2,2,1,2,797,7,7,10,13,9,18,19,58,54,77,78,84,95,112,115,41,228
"형법범",강력범죄(흉악),강도,1314,324,36,84,79,68,57,888,45,52,28,22,33,33,33,116,94,112,72,71,69,53,42,13,102
"형법범",강력범죄(흉악),방화,1161,99,31,16,18,16,18,1058,15,10,6,15,11,15,8,55,61,82,91,161,182,162,143,41,4
"형법범",강력범죄(흉악),성폭력,31952,2702,342,500,548,584,728,28990,681,600,642,738,775,962,989,4158,2978,3102,2575,2704,2588,2170,2402,926,260
"형법범",강력범죄(폭력),소계,279976,14744,1837,2558,2775,3012,4562,262617,5374,4611,4762,5017,5040,4945,4859,22173,20011,27750,26913,32695,32031,29188,28239,9009,2615
"형법범",강력범죄(폭력),폭행,191012,7830,893,1173,1325,1608,2831,181772,3627,3082,3297,3483,3535,3527,3431,15657,13865,19304,18559,22621,21847,20179,19521,6237,1410
"형법범",강력범죄(폭력),상해,53162,3616,395,673,711,757,1080,49191,1123,970,986,1061,1013,946,965,4196,3711,5089,4975,5906,5832,5286,5306,1826,355
"형법범",강력범죄(폭력),협박,23471,775,109,146,168,161,191,22278,209,189,194,234,269,274,244,1501,1648,2365,2512,3143,3322,2843,2595,736,418
"형법범",강력범죄(폭력),공갈,5302,1604,260,358,396,325,265,3538,210,180,110,104,82,70,80,345,334,407,317,341,360,281,262,55,160
"형법범",강력범죄(폭력),약취와유인,311,23,4,8,1,5,5,275,6,8,10,8,3,4,14,36,27,32,26,16,19,24,34,8,13
"형법범",강력범죄(폭력),체포와감금,2517,255,24,33,45,61,92,2154,109,96,87,55,76,50,57,167,170,244,200,237,201,203,161,41,108
"형법범",강력범죄(폭력),폭력행위등(손괴강요주거침입등),3675,610,148,163,126,86,87,2927,64,55,55,47,44,47,55,213,187,224,289,408,437,351,346,105,138
"형법범",강력범죄(폭력),폭력행위등(단체등의구성·활동),526,31,4,4,3,9,11,482,26,31,23,25,18,27,13,58,69,85,35,23,13,21,14,1,13
"형법범",위조범죄,소계,18292,1277,30,115,230,445,457,15168,118,145,138,110,148,144,134,881,993,1349,1501,1935,2169,2104,2433,866,1847
