범죄분류,남,여,미상
절도,80917,25269,470
장물,2639,481,11
사기,170981,48496,3645
횡령,27748,7862,705
배임,7978,1555,536
손괴,30340,4797,348
살인,788,141,57
강도,1333,145,19
방화,1045,218,0
성폭력,31905,829,103
폭행,188026,39514,1459
상해,61530,12278,307
협박,15311,1925,227
공갈,4746,720,61
약취와 유인,209,86,4
체포와 감금,2185,519,67
"폭력행위등(손괴,강요,주거침입등)",2326,571,90
폭력행위 등(단체 등의 구성ㆍ활동),582,20,16
통화,511,23,29
유가증권ㆍ인지ㆍ우표,331,58,17
문서,12732,4514,723
인장,508,77,16
직무유기,788,149,1126
직권남용,945,107,1123
수뢰,1046,96,115
증뢰,609,37,20
도박과 복표,19898,3982,38
신앙,398,92,36
기타 음란행위,2435,56,6
과실치사상,1810,800,56
업무상 과실치사상,4599,745,97
실화,1668,405,4
명예,21457,8480,2574
권리행사 방해,10233,2869,154
신용업무 경매,24161,4531,617
주거 침입,8502,2360,183
비밀침해,62,25,30
유기,69,173,5
교통방해,1478,235,22
공무방해,12761,1951,94
도주와 범인 은닉,731,233,16
위증과 증거인멸,3176,1126,121
무고,4213,2450,312
공안을 해하는 죄,192,40,27
내란의 죄,2,3,37
음용수에 관한 죄,23,0,1
일수와 수리에 관한 죄,7,0,0
기타,29,36,9
가정폭력범죄의 처벌 등에 관한 특례법,184,8,0
가축분뇨의관리및이용에관한법률,807,84,10
감염병의예방및관리에관한법률,69,147,3
개발제한구역의 지정 및 관리에 관한 특별조치법,1166,413,12
개인정보보호법,1171,515,179
건강기능식품에관한법률,471,415,2
건설기계 관리법,731,22,17
건설산업 기본법,4619,789,86
건축법,3977,1688,93
게임산업진흥에관한법률,8111,1748,19
결혼중개업의관리에관한법률,68,51,4
경범죄처벌법,5894,697,8
고용보험법,2175,1890,16
공유수면관리및매립에관한법률,247,51,9
공유재산및물품관리법,146,42,8
공인중개사법,969,596,21
공중위생관리법,719,996,9
공직선거법,776,208,108
관세법,1056,243,32
교통사고 처리특례법,146924,41901,159
국가기술자격법,330,58,14
국가보안법,44,14,4
국민체육진흥법,747,47,4
국토의계획및이용에관한법률,1744,384,40
근로기준법,34958,4427,300
근로자퇴직급여보장법,8109,1425,31
낚시관리및육성법,178,24,1
노동조합 및 노동관계조정법,707,45,157
농수산물유통 및 가격안정에 관한법률,37,9,3
농수산물의원산지표시에관한법률,2084,1459,6
농지법,942,290,22
대기환경보전법,2626,180,84
대부업등의등록및금융이용자보호에관한법률,1809,444,44
도로교통법,15715,1552,55
도로교통법(무면허운전),45035,3833,7
도로교통법(사고후미조치),22434,4625,525
도로교통법(음주운전),160701,19450,2
도로교통법(음주측정거부),2503,260,0
도로법,2273,177,73
도시및주거환경정비법,571,229,74
독점규제 및 공정거래에 관한법률,30,1,3
디자인보호법,217,72,65
마약류관리에 관한 법률(대마),1132,181,2
마약류관리에 관한 법률(마약),600,739,7
마약류관리에 관한 법률(향정),6263,1418,19
물환경보전법,936,79,24
배타적경제수역에서의 외국인어업등에 관한 주권적권리의 행사에 관한법률,346,0,2
범죄수익은닉의 규제 및 처벌 등에 관한법률,223,60,5
변호사법,904,112,32
병역법,6899,161,1
보조금관리에관한법률,1301,372,19
부동산 실권리자 명의등기에 관한법률,738,409,38
부정경쟁방지 및 영업비밀보호에 관한법률,743,125,53
부정수표단속법,972,186,20
사행행위 등 규제 및 처벌특례법,537,53,0
산림자원의조성및관리에관한법률,849,96,7
산업안전보건법,6965,146,174
산지관리법,2559,326,30
상표법,2461,1809,206
석유및석유대체연료사업법,1090,152,10
선박안전법,338,13,3
선박직원법,193,5,2
성매매알선등행위의처벌에관한법률,12902,8339,65
수도법,191,31,2
수산업법,1488,47,7
수산자원관리법,1627,193,0
식품위생법,5087,6437,110
신용정보의 이용 및 보호에 관한법률,96,22,4
아동·청소년의성보호에관한법률(성매수등),910,170,1
아동·청소년의성보호에관한법률(음란물등),521,12,0
아동복지법,2237,2288,5
액화석유가스의 안전관리 및 사업법,209,15,2
약사법,1235,619,11
여객자동차운수사업법,2591,201,31
여신전문금융업법,1446,519,45
영유아보육법,34,362,2
예비군법,7583,11,0
옥외광고물등의 관리와 옥외광고산업진흥에 관한법률,521,78,41
외국환거래법,590,240,14
위험물안전관리법,603,74,3
유사 수신행위의 규제에 관한법률,1588,704,48
의료기기법,367,138,98
의료법,2931,2536,130
자동차관리법,23701,2659,214
자동차손해배상보장법,35739,5087,82
자본시장과금융투자업에관한법률,519,74,35
저작권법,6978,2171,3414
전자금융거래법,14053,6095,28
전파법,587,47,1
정보통신망이용촉진 및 정보보호 등에 관한법률,7601,3784,879
조세범 처벌법,3976,601,186
주민등록법,1132,903,43
주차장법,282,161,2
주택법,1346,855,14
직업안정법,641,142,10
집회 및 시위에 관한법률,399,66,13
청소년보호법,5453,6134,11
총포·도검·화약류등의 안전관리에 관한법률,52,3,0
최저임금법,287,100,3
축산물위생관리법,1205,326,15
출입국관리법,2364,782,24
통신비밀보호법,161,65,16
특가법(도주차량),4779,820,29
특허법,265,46,42
폐기물관리법,1814,151,53
풍속영업의 규제에 관한법률,224,77,0
하천법,230,52,3
학교보건법,52,30,0
학원의설립운영및과외교습에관한법률,187,373,0
화물자동차운수사업법,2653,107,12
화재로인한재해보상과보험가입에관한법률,0,0,0
화재예방·소방시설설치유지 및 안전관리에 관한법률,26,13,0
화학물질관리법,696,144,4
기타 특별법,36967,16317,1885
