"죄종별(1)",죄종별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"죄종별(1)",죄종별(2),계,동종,동종,동종,동종,동종,동종,동종,동종,이종,이종,이종,이종,이종,이종,이종,이종
"죄종별(1)",죄종별(2),계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과
"계",소계,661301,197950,10643,13604,14132,45941,22855,23882,66893,463351,7411,12971,16561,67168,45693,52600,260947
"강력범죄",소계,12904,1863,111,133,136,444,239,262,538,11041,194,400,457,1611,1174,1284,5921
"강력범죄",살인기수,164,15,1,-,-,4,1,1,8,149,3,5,5,26,14,11,85
"강력범죄",살인미수등,244,26,3,1,-,3,3,5,11,218,6,8,8,42,22,13,119
"강력범죄",강도,773,267,43,35,32,52,34,26,45,506,29,39,52,124,68,66,128
"강력범죄",강간,2400,336,17,30,27,92,42,41,87,2064,41,93,90,379,235,256,970
"강력범죄",유사강간,387,54,-,2,1,16,10,7,18,333,10,8,6,54,48,46,161
"강력범죄",강제추행,7940,1027,39,56,65,250,128,161,328,6913,82,200,247,854,698,789,4043
"강력범죄",기타 강간·강제추행등,204,46,-,3,4,8,4,10,17,158,6,10,13,29,11,16,73
"강력범죄",방화,792,92,8,6,7,19,17,11,24,700,17,37,36,103,78,87,342
"절도범죄",소계,56375,24423,2780,2900,2465,6446,3044,2697,4091,31952,1468,1673,1544,4705,2885,2953,16724
"폭력범죄",소계,148302,39267,1622,2788,3069,9084,5454,4839,12411,109035,1536,3275,4131,14756,11740,12483,61114
"폭력범죄",상해,28646,8736,252,472,584,1816,1226,1042,3344,19910,238,519,709,2624,2169,2260,11391
"폭력범죄",폭행,70520,20595,730,1358,1488,4621,2842,2579,6977,49925,524,1367,1720,6243,5225,5709,29137
"폭력범죄",체포·감금,724,120,6,15,13,37,16,18,15,604,11,26,22,144,67,77,257
"폭력범죄",협박,11381,1780,97,162,157,482,253,221,408,9601,144,283,385,1268,944,1053,5524
"폭력범죄",약취·유인,118,16,2,-,3,6,1,-,4,102,3,6,7,21,15,2,48
"폭력범죄",폭력행위등,12499,4111,247,394,436,1117,574,499,844,8388,245,428,465,1506,998,1008,3738
"폭력범죄",공갈,1599,483,85,84,63,118,56,47,30,1116,82,80,81,264,133,129,347
"폭력범죄",손괴,22815,3426,203,303,325,887,486,433,789,19389,289,566,742,2686,2189,2245,10672
"지능범죄",소계,117197,42549,4047,4316,4065,14718,4312,4747,6344,74648,1653,2360,3016,14954,7241,9356,36068
"지능범죄",직무유기,19,1,-,-,-,-,-,-,1,18,-,-,-,-,1,2,15
"지능범죄",직권남용,26,1,-,-,-,-,-,-,1,25,-,-,1,-,-,4,20
"지능범죄",증수뢰,305,10,-,1,-,6,-,1,2,295,2,-,5,31,18,29,210
"지능범죄",통화,22,9,-,2,-,3,1,1,2,13,1,-,1,5,2,1,3
"지능범죄",문서·인장,4362,923,58,89,97,343,102,98,136,3439,67,117,128,637,328,441,1721
"지능범죄",유가증권인지,39,7,-,-,-,2,1,1,3,32,2,-,-,5,4,2,19
"지능범죄",사기,97665,39212,3826,4006,3757,13626,3946,4352,5699,58453,1399,1928,2504,12422,5909,7464,26827
"지능범죄",횡령,13269,2272,158,210,205,703,250,276,470,10997,174,303,347,1665,901,1287,6320
"지능범죄",배임,1490,114,5,8,6,35,12,18,30,1376,8,12,30,189,78,126,933
"풍속범죄",소계,18865,4219,78,153,184,688,502,548,2066,14646,129,240,349,1724,1224,1617,9363
"풍속범죄",성풍속범죄,4963,1277,43,89,96,287,228,203,331,3686,73,130,145,606,403,458,1871
"풍속범죄",도박범죄,13902,2942,35,64,88,401,274,345,1735,10960,56,110,204,1118,821,1159,7492
"특별경제범죄",소계,32086,6239,352,447,577,1803,844,814,1402,25847,363,619,883,3759,2560,3049,14614
"마약범죄",소계,6233,2671,86,150,156,782,423,581,493,3562,42,78,143,594,389,537,1779
"보건범죄",소계,9860,2603,84,143,183,782,302,297,812,7257,49,87,128,763,613,775,4842
"환경범죄",소계,2908,587,24,57,54,223,63,76,90,2321,9,35,60,305,184,267,1461
"교통범죄",소계,143499,53821,703,1276,1733,5660,4812,6363,33274,89678,764,1899,2805,10629,8646,9746,55189
"노동범죄",소계,340,54,1,3,-,20,6,7,17,286,3,1,8,40,22,42,170
"안보범죄",소계,388,85,3,9,7,24,12,11,19,303,4,12,18,68,42,47,112
"선거범죄",소계,606,64,2,-,4,17,4,11,26,542,3,3,10,59,31,54,382
"병역범죄",소계,1993,632,11,36,67,246,110,93,69,1361,29,45,79,378,214,227,389
"기타범죄",소계,109745,18873,739,1193,1432,5004,2728,2536,5241,90872,1165,2244,2930,12823,8728,10163,52819
