"전과별(1)",전과별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"전과별(1)",전과별(2),계,계,계,미성년,미성년,미성년,성년,성년,성년,미상,미상,미상
"전과별(1)",전과별(2),계,남,여,계,남,여,계,남,여,계,남,여
"없음",소계,330824,218792,112032,37029,29905,7124,293688,188827,104861,107,60,47
"전과있음",소계,655900,573673,82227,21249,18939,2310,634586,554681,79905,65,53,12
"전과있음",1범,141663,110072,31591,6614,5569,1045,135038,104494,30544,11,9,2
"전과있음",2범,96716,80560,16156,3362,2931,431,93343,77618,15725,11,11,-
"전과있음",3범,73425,63771,9654,2357,2090,267,71064,61678,9386,4,3,1
"전과있음",4범,54547,48414,6133,1574,1425,149,52967,46986,5981,6,3,3
"전과있음",5범,43735,39498,4237,1306,1188,118,42424,38305,4119,5,5,-
"전과있음",6범,34138,31218,2920,910,842,68,33228,30376,2852,-,-,-
"전과있음",7범,28092,25898,2194,733,674,59,27356,25221,2135,3,3,-
"전과있음",8범,21959,20451,1508,595,553,42,21359,19895,1464,5,3,2
"전과있음",9범이상,161625,153791,7834,3798,3667,131,157807,150108,7699,20,16,4
"미상",소계,507697,382298,125399,5874,4595,1279,497430,376590,120840,4393,1113,3280
