"범죄별(1)",범죄별(2),범죄별(3),합계,전과없음,전과,전과,전과,전과,전과,전과,전과,전과,전과,전과,미상
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계
"합계",소계,소계,64480,37079,21298,6636,3368,2362,1576,1309,911,735,595,3806,6103
"형법범",소계,소계,50969,29106,17115,5130,2631,1853,1249,1071,741,614,506,3320,4748
"형법범",재산범죄,소계,28855,16159,10988,2972,1590,1168,810,715,494,404,356,2479,1708
"형법범",재산범죄,절도,17066,9885,6733,1893,1005,727,510,418,302,238,221,1419,448
"형법범",재산범죄,장물,188,107,72,25,13,11,2,5,5,1,1,9,9
"형법범",재산범죄,사기,9212,4680,3451,792,446,361,248,245,159,147,115,938,1081
"형법범",재산범죄,횡령,1309,862,388,145,70,28,22,29,11,11,9,63,59
"형법범",재산범죄,배임,3,1,1,1,-,-,-,-,-,-,-,-,1
"형법범",재산범죄,손괴,1077,624,343,116,56,41,28,18,17,7,10,50,110
"형법범",강력범죄(흉악),소계,3134,2159,671,276,127,72,46,26,19,14,9,82,304
"형법범",강력범죄(흉악),살인,9,9,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범죄(흉악),강도,324,143,173,54,30,19,14,7,7,3,3,36,8
"형법범",강력범죄(흉악),방화,99,73,21,14,5,-,1,-,-,-,-,1,5
"형법범",강력범죄(흉악),성폭력,2702,1934,477,208,92,53,31,19,12,11,6,45,291
"형법범",강력범죄(폭력),소계,14744,8257,4540,1539,758,514,321,284,198,166,122,638,1947
"형법범",강력범죄(폭력),폭행,7830,4234,2060,763,346,234,149,132,84,59,57,236,1536
"형법범",강력범죄(폭력),상해,3616,2209,1271,428,215,154,94,69,54,46,31,180,136
"형법범",강력범죄(폭력),협박,775,458,198,66,37,17,11,16,8,13,4,26,119
"형법범",강력범죄(폭력),공갈,1604,797,709,168,101,82,50,54,39,37,17,161,98
"형법범",강력범죄(폭력),약취와유인,23,10,9,5,2,-,-,1,-,-,-,1,4
"형법범",강력범죄(폭력),체포와감금,255,125,103,25,20,8,6,8,5,7,6,18,27
"형법범",강력범죄(폭력),폭력행위등(손괴강요주거침입등),610,406,177,76,36,19,11,3,8,4,6,14,27
"형법범",강력범죄(폭력),폭력행위등(단체등의구성·활동）,31,18,13,8,1,-,-,1,-,-,1,2,-
