범죄분류,국가,공무원,고용자,피고용자,직장동료,친구,애인,동거친족,기타친족,거래상대방,이웃,지인,타인,기타,미상
절도,262,36,1508,447,731,1193,675,115,233,1615,1367,2165,82119,3834,10356
장물,135,1,6,0,3,15,0,2,0,66,4,22,2274,259,344
사기,5127,94,1113,478,951,1857,1103,64,403,23300,879,6785,53309,17562,110097
횡령,568,5,1324,389,393,190,66,21,234,2046,261,651,12138,2857,15172
배임,293,0,331,82,120,9,1,1,45,579,65,130,791,1439,6183
손괴,78,49,102,48,216,254,1634,2329,682,683,2036,1082,18700,1627,5965
살인,0,6,1,3,40,40,86,180,48,9,50,92,230,40,161
강도,0,1,6,6,8,35,28,6,7,57,25,80,1002,74,162
방화,66,6,13,3,10,2,72,170,39,19,70,28,470,150,145
성폭력,0,17,248,359,1053,1101,1071,539,245,220,529,2006,18457,1063,5929
폭행,0,149,290,459,3418,4470,4640,18389,2474,1946,3972,6702,71866,3714,106510
상해,0,70,228,295,3966,4300,2597,4871,1492,758,3147,6205,36454,2756,6976
협박,45,22,61,50,222,265,974,2185,434,190,626,647,6021,764,4957
공갈,65,3,34,27,44,393,90,5,29,174,33,389,2306,551,1384
약취와유인,0,0,0,3,4,3,2,11,29,3,8,3,129,10,94
체포와감금,0,0,8,14,31,112,389,200,106,35,18,141,588,100,1029
"폭력행위등(손괴,강요,주거침입등)",30,2,17,6,38,47,6,4,67,113,50,83,1471,247,806
"폭력행위등(단체등의구성,활동)",48,4,0,0,3,4,3,2,1,3,1,13,180,277,79
통화,60,0,0,0,0,0,0,1,0,3,0,0,62,17,420
유가증권·인지·우표,30,4,1,2,2,2,0,2,2,36,0,12,49,54,210
문서,2421,124,86,47,124,154,49,192,324,826,89,413,2375,1955,8790
인장,228,3,2,2,5,0,1,2,8,12,4,5,55,102,172
직무유기,112,50,0,0,2,0,0,0,0,3,0,0,88,286,1522
직권남용,96,73,1,1,9,0,0,0,2,5,0,1,132,269,1586
