"범죄별(1)",범죄별(2),범죄별(3),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"범죄별(1)",범죄별(2),범죄별(3),합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과
"합계",소계,소계,652553,193821,9807,12821,13623,44845,22428,23575,66722,458732,6657,12289,16027,65751,45085,52095,260828
"형법범",소계,소계,394965,115864,8324,10159,10092,32318,14262,13744,26965,279101,5031,8528,10629,42804,28333,32085,151691
"형법범",재산범죄,소계,187015,67053,6381,6949,6470,21037,7577,7647,10992,119962,2897,4103,4859,21078,11731,13916,61378
"형법범",재산범죄,절도,54089,23210,2492,2677,2339,6145,2940,2620,3997,30879,1234,1475,1412,4481,2787,2893,16597
"형법범",재산범죄,장물,562,154,9,14,10,27,22,19,53,408,9,12,8,63,38,42,236
"형법범",재산범죄,사기,95407,38089,3537,3769,3614,13293,3896,4310,5670,57318,1225,1770,2356,12086,5793,7366,26722
"형법범",재산범죄,횡령,13039,2175,144,193,194,681,240,259,464,10864,162,287,332,1628,879,1271,6305
"형법범",재산범죄,배임,1502,114,5,8,6,35,12,18,30,1388,8,12,30,190,81,129,938
"형법범",재산범죄,손괴,22416,3311,194,288,307,856,467,421,778,19105,259,547,721,2630,2153,2215,10580
"형법범",강력범죄(흉악),소계,15265,2408,121,161,174,550,356,364,682,12857,218,452,522,1909,1378,1516,6862
"형법범",강력범죄(흉악),살인,402,41,4,1,-,7,4,6,19,361,9,13,12,67,36,23,201
"형법범",강력범죄(흉악),강도,741,251,39,29,32,47,34,26,44,490,24,36,51,120,66,66,127
"형법범",강력범죄(흉악),방화,761,89,7,6,7,18,17,11,23,672,17,35,35,102,74,80,329
"형법범",강력범죄(흉악),성폭력,13361,2027,71,125,135,478,301,321,596,11334,168,368,424,1620,1202,1347,6205
"형법범",강력범죄(폭력),소계,122767,34590,1298,2297,2594,7879,4781,4284,11457,88177,1118,2543,3241,11740,9365,10061,50109
"형법범",강력범죄(폭력),폭행,73724,21453,750,1401,1571,4834,2946,2701,7250,52271,522,1426,1818,6565,5502,6016,30422
"형법범",강력범죄(폭력),상해,32670,10147,313,563,692,2214,1444,1228,3693,22523,307,641,820,3060,2485,2545,12665
"형법범",강력범죄(폭력),협박,11399,1773,96,165,154,481,255,218,404,9626,144,278,393,1277,952,1062,5520
"형법범",강력범죄(폭력),공갈,2331,709,104,111,114,186,83,62,49,1622,85,116,120,416,182,184,519
"형법범",강력범죄(폭력),약취와 유인,116,16,2,-,3,6,1,-,4,100,3,6,7,21,14,2,47
"형법범",강력범죄(폭력),체포와 감금,973,176,12,22,21,51,24,30,16,797,26,31,32,185,103,92,328
"형법범",강력범죄(폭력),폭력행위등(손괴강요주거침입등),1223,231,15,33,33,72,22,25,31,992,25,35,47,148,101,95,541
"형법범",강력범죄(폭력),폭력행위 등(단체 등의 구성ㆍ활동),331,85,6,2,6,35,6,20,10,246,6,10,4,68,26,65,67
"형법범",위조범죄,소계,4299,887,57,81,88,332,91,96,142,3412,61,106,123,624,322,440,1736
"형법범",위조범죄,통화,21,9,-,2,-,3,1,1,2,12,1,-,1,5,1,1,3
"형법범",위조범죄,유가증권ㆍ인지ㆍ우표,39,7,-,-,-,2,1,1,3,32,2,-,-,5,4,2,19
"형법범",위조범죄,문서,4029,851,55,78,83,323,88,93,131,3178,56,99,116,582,299,412,1614
"형법범",위조범죄,인장,210,20,2,1,5,4,1,1,6,190,2,7,6,32,18,25,100
"형법범",공무원범죄,소계,378,13,-,2,-,6,-,1,4,365,2,-,5,31,23,40,264
"형법범",공무원범죄,직무유기,19,1,-,-,-,-,-,-,1,18,-,-,-,-,1,2,15
"형법범",공무원범죄,직권남용,30,1,-,-,-,-,-,-,1,29,-,-,1,-,-,9,19
"형법범",공무원범죄,수뢰,250,9,-,2,-,5,-,1,1,241,1,-,2,16,19,24,179
"형법범",공무원범죄,증뢰,79,2,-,-,-,1,-,-,1,77,1,-,2,15,3,5,51
"형법범",풍속범죄,소계,14743,3195,38,75,108,465,332,389,1788,11548,66,129,233,1196,902,1214,7808
"형법범",풍속범죄,도박과 복표,13457,2834,33,59,85,384,263,328,1682,10623,52,103,195,1067,792,1100,7314
"형법범",풍속범죄,신앙,63,4,-,-,-,2,-,-,2,59,2,1,-,8,6,8,34
"형법범",풍속범죄,기타 음란행위,1223,357,5,16,23,79,69,61,104,866,12,25,38,121,104,106,460
"형법범",과실범죄,소계,4348,187,1,8,9,32,21,20,96,4161,32,57,85,298,320,402,2967
"형법범",과실범죄,과실치사상,944,50,-,5,3,10,6,6,20,894,5,17,24,70,76,93,609
"형법범",과실범죄,업무상 과실치사상,2341,126,1,2,5,18,14,13,73,2215,16,24,35,148,170,202,1620
"형법범",과실범죄,실화,1063,11,-,1,1,4,1,1,3,1052,11,16,26,80,74,107,738
"형법범",기타 형법범죄,소계,46150,7531,428,586,649,2017,1104,943,1804,38619,637,1138,1561,5928,4292,4496,20567
"형법범",기타 형법범죄,명예,9432,927,48,65,73,273,118,95,255,8505,111,191,291,1181,771,904,5056
"형법범",기타 형법범죄,권리행사 방해,2101,139,12,8,15,51,10,14,29,1962,31,49,65,384,181,239,1013
"형법범",기타 형법범죄,신용업무 경매,15675,3455,216,271,327,929,542,454,716,12220,216,373,505,1878,1413,1441,6394
"형법범",기타 형법범죄,주거 침입,7758,1111,80,104,115,339,149,128,196,6647,142,273,300,1043,777,748,3364
"형법범",기타 형법범죄,비밀침해,18,1,1,-,-,-,-,-,-,17,-,1,-,2,1,2,11
"형법범",기타 형법범죄,유기,31,2,-,-,-,-,-,1,1,29,2,-,-,2,4,1,20
"형법범",기타 형법범죄,교통방해,831,51,4,4,5,21,4,5,8,780,7,9,25,79,56,83,521
"형법범",기타 형법범죄,공무방해,8704,1702,61,121,103,365,260,226,566,7002,103,203,325,1078,937,878,3478
